Traffic Intensity (ρ),Packets in Buffer,Idle Time,Packet Loss,Generated Packets,Arrivals,Departs,Observations,E[N],Pidle,Ploss
0.5,1244125,623616,0,249734,249734,249734,1248568,0.9964415234092175,0.4994649870892094,0.0
0.6,2253625,598302,0,300242,300242,300242,1499604,1.50281340940675,0.39897332895884513,0.0
0.7,4060244,524307,0,349186,349186,349186,1750816,2.3190580849158335,0.2994643640451081,0.0
0.8,8005077,401691,0,399553,399553,399553,2000202,4.002134284437272,0.20082521665311803,0.0
0.9,20097043,222564,238,449828,449590,449590,2251508,8.926036682969814,0.09885108114206123,0.0005290911192722551
1,62865241,48687,10416,499987,489571,489571,2500108,25.145010135562142,0.01947395872498308,0.020832541646082798
1.1,111583718,2222,50321,550621,500300,500300,2752146,40.5442581897908,0.0008073699578438063,0.09138954017373112
1.2,134954747,22,99753,599319,499566,499566,2999433,44.9934194229376,7.334719595336852e-06,0.1664439138422109
1.3,151459471,6,149138,650352,501214,501214,3249791,46.60591127244798,1.8462725756825592e-06,0.22931889192314317
1.4,166216936,5,198993,699025,500032,500032,3499310,47.499917412289854,1.4288531167573035e-06,0.28467222202353276
1.5,179935361,44,249865,749984,500119,500119,3749775,47.98564207185765,1.1734037375575868e-05,0.3331604407560695
