Traffic Intensity (ρ),Packets in Buffer,Idle Time,Packet Loss,Generated Packets,Arrivals,Departs,Observations,E[N],Pidle,Ploss
0.5,1242466,624652,133,250092,249959,249959,1248335,0.9952985376521527,0.5003881169718064,0.000531804296019065
0.6,2208604,597375,728,300927,300199,300199,1498499,1.473877526778463,0.39864891468062374,0.0024191913653477423
0.7,3659362,537062,2914,349246,346332,346332,1751169,2.089668101708059,0.3066877040422712,0.008343688975679034
0.8,5940042,438335,9324,399198,389874,389874,2000323,2.9695414190608216,0.21913211016420847,0.02335683044504231
0.9,8908461,329614,22953,450474,427521,427521,2246231,3.9659594226951724,0.14674091845406817,0.05095299617735985
1,12425130,230718,45003,499830,454827,454827,2495961,4.978094609651353,0.09243654047479108,0.0900366124482324
1.1,16270103,148608,75859,549324,473465,473465,2748835,5.918908555806369,0.05406217543068245,0.1380951860832587
1.2,20147711,91241,115693,600269,484576,484576,3000212,6.71542910967625,0.03041151758609058,0.19273525702643315
1.3,23701535,57204,157519,649450,491931,491931,3245165,7.3036455773435245,0.017627454998436137,0.24254215105088922
1.4,27192165,35692,206319,700069,493750,493750,3497004,7.775846124282386,0.010206451007776942,0.2947123783512768
1.5,30511077,21749,252207,748993,496786,496786,3750456,8.135297947769551,0.005799028171507678,0.3367281136138789
